admission_month,total_admissions,avg_length_of_stay
2024-01,4017,4.62
2024-02,3774,4.61
2024-03,4092,4.59
2024-04,3945,4.57
2024-05,4103,4.5
2024-06,3953,4.63
2024-07,4071,4.67
2024-08,4160,4.59
2024-09,3950,4.66
2024-10,4095,4.56
2024-11,3970,4.62
2024-12,4110,4.62
2025-01,4077,4.62
2025-02,3629,4.59
2025-03,3942,4.63
2025-04,4065,4.62
2025-05,4086,4.65
2025-06,3821,4.72
2025-07,4006,4.53
2025-08,3963,4.67
2025-09,3987,4.6
2025-10,4158,4.58
2025-11,3950,4.65
2025-12,4135,4.66
2026-01,4149,4.71
2026-02,3706,4.72
2026-03,4077,4.84
2026-04,3872,4.72
2026-05,4075,4.7
2026-06,4042,4.83
