admission_month,department,total_admissions,avg_length_of_stay
2024-01,Emergency,983,2.69
2024-01,General Medicine,691,4.89
2024-01,Cardiology,477,5.49
2024-01,Orthopedics,391,4.53
2024-01,Pulmonology,284,5.15
2024-01,Neurology,281,6.23
2024-01,Oncology,256,6.31
2024-01,Surgery,241,5.12
2024-01,Gastroenterology,220,4.57
2024-01,Nephrology,193,5.5
2024-02,Emergency,924,2.68
2024-02,General Medicine,673,4.74
2024-02,Cardiology,423,5.63
2024-02,Orthopedics,377,4.64
2024-02,Neurology,259,5.85
2024-02,Oncology,239,6.52
2024-02,Gastroenterology,233,4.18
2024-02,Pulmonology,233,5.06
2024-02,Surgery,221,5.3
2024-02,Nephrology,192,6.25
2024-03,Emergency,1006,2.73
2024-03,General Medicine,699,4.84
2024-03,Cardiology,476,5.61
2024-03,Orthopedics,430,4.59
2024-03,Pulmonology,310,5.35
2024-03,Neurology,269,5.94
2024-03,Oncology,238,5.55
2024-03,Gastroenterology,234,4.44
2024-03,Surgery,233,5.41
2024-03,Nephrology,197,5.71
2024-04,Emergency,999,2.73
2024-04,General Medicine,670,4.94
2024-04,Orthopedics,427,4.31
2024-04,Cardiology,393,5.47
2024-04,Pulmonology,280,5.33
2024-04,Neurology,273,6.41
2024-04,Surgery,249,5.69
2024-04,Gastroenterology,226,4.0
2024-04,Oncology,220,5.67
2024-04,Nephrology,208,5.79
2024-05,Emergency,1031,2.65
2024-05,General Medicine,703,4.74
2024-05,Cardiology,421,5.29
2024-05,Orthopedics,417,4.63
2024-05,Pulmonology,318,5.25
2024-05,Neurology,279,5.81
2024-05,Surgery,261,5.69
2024-05,Gastroenterology,244,4.05
2024-05,Oncology,238,6.29
2024-05,Nephrology,191,5.27
2024-06,Emergency,967,2.78
2024-06,General Medicine,680,4.97
2024-06,Cardiology,420,5.67
2024-06,Orthopedics,370,4.51
2024-06,Neurology,288,6.14
2024-06,Pulmonology,288,5.14
2024-06,Gastroenterology,249,4.33
2024-06,Surgery,246,5.38
2024-06,Oncology,246,5.67
2024-06,Nephrology,199,5.7
2024-07,Emergency,958,2.81
2024-07,General Medicine,759,4.93
2024-07,Cardiology,439,5.67
2024-07,Orthopedics,401,4.92
2024-07,Pulmonology,293,5.24
2024-07,Neurology,289,6.05
2024-07,Gastroenterology,244,3.99
2024-07,Surgery,243,5.63
2024-07,Oncology,238,5.65
2024-07,Nephrology,207,5.55
2024-08,Emergency,1036,2.71
2024-08,General Medicine,688,4.94
2024-08,Cardiology,445,5.42
2024-08,Orthopedics,439,4.42
2024-08,Neurology,302,5.82
2024-08,Pulmonology,297,5.14
2024-08,Oncology,263,6.12
2024-08,Surgery,252,5.6
2024-08,Gastroenterology,240,4.41
2024-08,Nephrology,198,5.78
2024-09,Emergency,988,2.75
2024-09,General Medicine,641,5.09
2024-09,Cardiology,470,5.51
2024-09,Orthopedics,363,4.51
2024-09,Neurology,312,6.36
2024-09,Pulmonology,266,5.48
2024-09,Gastroenterology,251,3.89
2024-09,Oncology,242,6.07
2024-09,Surgery,230,5.43
2024-09,Nephrology,187,5.64
2024-10,Emergency,1033,2.8
2024-10,General Medicine,729,4.89
2024-10,Cardiology,415,5.51
2024-10,Orthopedics,402,4.43
2024-10,Neurology,283,6.13
2024-10,Pulmonology,277,5.18
2024-10,Gastroenterology,271,4.32
2024-10,Surgery,255,5.33
2024-10,Oncology,230,5.78
2024-10,Nephrology,200,5.59
2024-11,Emergency,998,2.81
2024-11,General Medicine,682,4.87
2024-11,Cardiology,432,5.62
2024-11,Orthopedics,406,4.31
2024-11,Pulmonology,288,5.31
