domain,query_number,title,rows,status,output_file,error
admissions,1,OVERALL ADMISSION KPIs,1,PASS,reports\analysis\admissions\01_overall_admission_kpis.csv,
admissions,2,ADMISSIONS BY DEPARTMENT,10,PASS,reports\analysis\admissions\02_admissions_by_department.csv,
admissions,3,LENGTH OF STAY BY DEPARTMENT,10,PASS,reports\analysis\admissions\03_length_of_stay_by_department.csv,
admissions,4,ADMISSION TYPE MIX,3,PASS,reports\analysis\admissions\04_admission_type_mix.csv,
admissions,5,MONTHLY ADMISSION TREND,30,PASS,reports\analysis\admissions\05_monthly_admission_trend.csv,
admissions,6,MONTHLY ADMISSIONS BY DEPARTMENT,300,PASS,reports\analysis\admissions\06_monthly_admissions_by_department.csv,
admissions,7,BED TYPE UTILISATION,4,PASS,reports\analysis\admissions\07_bed_type_utilisation.csv,
admissions,8,DEPARTMENT + ADMISSION TYPE,30,PASS,reports\analysis\admissions\08_department_admission_type.csv,
readmissions,1,OVERALL 30-DAY READMISSION KPIs,1,PASS,reports\analysis\readmissions\01_overall_30_day_readmission_kpis.csv,
readmissions,2,READMISSION RATE BY DEPARTMENT,10,PASS,reports\analysis\readmissions\02_readmission_rate_by_department.csv,
readmissions,3,READMISSION RATE BY ADMISSION TYPE,3,PASS,reports\analysis\readmissions\03_readmission_rate_by_admission_type.csv,
readmissions,4,READMISSION REASONS,6,PASS,reports\analysis\readmissions\04_readmission_reasons.csv,
readmissions,5,TIME TO READMISSION,1,PASS,reports\analysis\readmissions\05_time_to_readmission.csv,
readmissions,6,READMISSION TIMING BUCKETS,4,PASS,reports\analysis\readmissions\06_readmission_timing_buckets.csv,
readmissions,7,MONTHLY READMISSION RATE,30,PASS,reports\analysis\readmissions\07_monthly_readmission_rate.csv,
readmissions,8,LOS VS READMISSION,2,PASS,reports\analysis\readmissions\08_los_vs_readmission.csv,
readmissions,9,DEPARTMENT + READMISSION REASON,60,PASS,reports\analysis\readmissions\09_department_readmission_reason.csv,
staffing,1,OVERALL STAFFING KPIs,1,PASS,reports\analysis\staffing\01_overall_staffing_kpis.csv,
staffing,2,STAFFING BY DEPARTMENT,10,PASS,reports\analysis\staffing\02_staffing_by_department.csv,
staffing,3,STAFFING BY SHIFT,3,PASS,reports\analysis\staffing\03_staffing_by_shift.csv,
staffing,4,DEPARTMENT + SHIFT WORKLOAD,30,PASS,reports\analysis\staffing\04_department_shift_workload.csv,
staffing,5,MONTHLY STAFFING TREND,30,PASS,reports\analysis\staffing\05_monthly_staffing_trend.csv,
staffing,6,MONTHLY WORKLOAD BY DEPARTMENT,300,PASS,reports\analysis\staffing\06_monthly_workload_by_department.csv,
staffing,7,HIGHEST WORKLOAD OBSERVATIONS,20,PASS,reports\analysis\staffing\07_highest_workload_observations.csv,
staffing,8,LOWEST STAFFING OBSERVATIONS,20,PASS,reports\analysis\staffing\08_lowest_staffing_observations.csv,
staffing,9,DAILY HOSPITAL WORKLOAD,912,PASS,reports\analysis\staffing\09_daily_hospital_workload.csv,
staffing,10,WORKLOAD VARIABILITY BY DEPARTMENT,10,PASS,reports\analysis\staffing\10_workload_variability_by_department.csv,
costs,1,OVERALL COST KPIs,1,PASS,reports\analysis\costs\01_overall_cost_kpis.csv,
costs,2,COST BY DEPARTMENT,10,PASS,reports\analysis\costs\02_cost_by_department.csv,
costs,3,COST BY ADMISSION TYPE,3,PASS,reports\analysis\costs\03_cost_by_admission_type.csv,
costs,4,MONTHLY COST TREND,30,PASS,reports\analysis\costs\04_monthly_cost_trend.csv,
costs,5,INSURANCE TYPE FINANCIAL ANALYSIS,5,PASS,reports\analysis\costs\05_insurance_type_financial_analysis.csv,
costs,6,COST BY LENGTH OF STAY,30,PASS,reports\analysis\costs\06_cost_by_length_of_stay.csv,
costs,7,LOS BUCKET COST ANALYSIS,4,PASS,reports\analysis\costs\07_los_bucket_cost_analysis.csv,
costs,8,HIGHEST-COST ADMISSIONS,20,PASS,reports\analysis\costs\08_highest_cost_admissions.csv,
costs,9,HIGHEST OUT-OF-POCKET ADMISSIONS,20,PASS,reports\analysis\costs\09_highest_out_of_pocket_admissions.csv,
costs,10,DEPARTMENT INSURANCE COVERAGE,10,PASS,reports\analysis\costs\10_department_insurance_coverage.csv,
costs,11,COST PER DAY BY DEPARTMENT,10,PASS,reports\analysis\costs\11_cost_per_day_by_department.csv,
operational,1,DEPARTMENT PERFORMANCE SUMMARY,10,PASS,reports\analysis\operational\01_department_performance_summary.csv,
operational,2,MONTHLY DEPARTMENT OPERATIONAL PERFORMANCE,300,PASS,reports\analysis\operational\02_monthly_department_operational_performance.csv,
operational,3,MONTHLY DEPARTMENT READMISSION PERFORMANCE,300,PASS,reports\analysis\operational\03_monthly_department_readmission_performance.csv,
operational,4,STAFFING WORKLOAD VS LENGTH OF STAY,300,PASS,reports\analysis\operational\04_staffing_workload_vs_length_of_stay.csv,
operational,5,LENGTH OF STAY VS BILLED AMOUNT,119980,PASS,reports\analysis\operational\05_length_of_stay_vs_billed_amount.csv,
operational,6,READMISSION STATUS VS BILLED AMOUNT,2,PASS,reports\analysis\operational\06_readmission_status_vs_billed_amount.csv,
operational,7,DEPARTMENT OPERATIONAL RANKING INPUT,10,PASS,reports\analysis\operational\07_department_operational_ranking_input.csv,
operational,8,MONTHLY HOSPITAL EXECUTIVE TREND,30,PASS,reports\analysis\operational\08_monthly_hospital_executive_trend.csv,
