department,admissions,total_billed_amount,avg_cost_per_admission,share_of_total_cost_pct
Cardiology,13213,198688525.1,15037.35,15.16
Emergency,29777,181805959.94,6105.58,13.87
General Medicine,20277,178220431.53,8789.29,13.6
Orthopedics,12081,143721195.71,11896.47,10.97
Oncology,7380,134197123.02,18183.89,10.24
Surgery,7161,121403526.0,16953.43,9.26
Neurology,8494,118549496.04,13956.85,9.05
Pulmonology,8403,88232455.17,10500.11,6.73
Nephrology,5987,79085430.38,13209.53,6.04
Gastroenterology,7207,66514755.35,9229.19,5.08
