admission_month,admissions,total_billed_amount,avg_cost_per_admission,avg_out_of_pocket
2024-01,4017,44078446.8,10972.98,2538.54
2024-02,3774,41933167.78,11111.07,2728.74
2024-03,4092,44668255.35,10916.0,2539.96
2024-04,3945,42468473.31,10765.14,2488.48
2024-05,4103,44552038.18,10858.41,2537.35
2024-06,3953,42206706.8,10677.13,2379.1
2024-07,4071,43994498.27,10806.8,2484.93
2024-08,4160,45096749.29,10840.56,2490.95
2024-09,3950,42901385.67,10861.11,2502.63
2024-10,4095,44394425.77,10841.13,2595.3
2024-11,3970,42581638.57,10725.85,2436.67
2024-12,4110,44854340.04,10913.46,2555.92
2025-01,4077,44831671.56,10996.24,2616.52
2025-02,3629,39668426.2,10930.95,2589.17
2025-03,3942,42151628.25,10692.95,2512.69
2025-04,4065,44338126.52,10907.29,2489.57
2025-05,4086,44283361.88,10837.83,2456.41
2025-06,3821,41628438.4,10894.64,2510.96
2025-07,4006,43837208.5,10942.89,2672.37
2025-08,3963,43030427.04,10858.04,2543.92
2025-09,3987,42865539.32,10751.33,2412.03
2025-10,4158,45393006.51,10917.03,2593.64
2025-11,3950,42832329.64,10843.63,2530.22
2025-12,4135,44174922.57,10683.17,2516.06
2026-01,4149,46725477.68,11261.86,2576.46
2026-02,3706,41410902.51,11174.02,2556.73
2026-03,4077,45837074.42,11242.84,2595.0
2026-04,3872,44284680.27,11437.16,2741.88
2026-05,4075,44843167.45,11004.46,2601.68
2026-06,4042,44552383.69,11022.36,2503.56
