length_of_stay,admissions,avg_billed_amount,avg_out_of_pocket
1,14727,8246.69,1909.94
2,18301,9024.48,2090.13
3,19204,9899.27,2326.54
4,16971,10607.68,2490.91
5,13766,11415.9,2711.67
6,10328,12078.67,2796.07
7,7692,12775.88,2999.32
8,5487,13400.72,3131.91
9,4126,13927.41,3173.6
10,2891,14270.27,3125.57
11,1980,14729.26,3431.91
12,1353,15199.97,3465.36
13,1008,14897.06,3400.71
14,677,16024.08,3627.51
15,520,16757.63,3773.94
16,312,16974.56,3954.21
17,212,17217.66,3650.38
18,132,19036.55,4490.43
19,97,17953.41,3985.2
20,73,18225.55,4033.31
21,33,18378.2,3891.16
22,26,20107.52,5559.01
23,19,22249.64,4747.56
24,12,19051.1,5168.53
25,11,19040.4,3186.93
26,5,17906.36,3508.84
27,6,21091.87,4869.01
28,4,17615.91,3612.26
29,2,19296.59,2815.09
30,5,21771.68,3668.51
