department,total_billed_amount,insurance_covered,out_of_pocket,insurance_coverage_pct,out_of_pocket_pct
Surgery,121403526.0,92065842.38,29337683.62,75.83,24.17
Orthopedics,143721195.71,109927960.87,33793234.84,76.49,23.51
Emergency,181805959.94,139079494.0,42726465.94,76.5,23.5
Nephrology,79085430.38,60510460.69,18574969.69,76.51,23.49
Gastroenterology,66514755.35,51003857.63,15510897.72,76.68,23.32
Cardiology,198688525.1,152474630.68,46213894.42,76.74,23.26
Neurology,118549496.04,91208001.48,27341494.56,76.94,23.06
General Medicine,178220431.53,137171291.31,41049140.22,76.97,23.03
Oncology,134197123.02,103484443.49,30712679.53,77.11,22.89
Pulmonology,88232455.17,68412343.05,19820112.12,77.54,22.46
