department,total_admissions,avg_length_of_stay,eligible_admissions,readmitted_admissions,readmission_rate_pct,total_staff_assignments,total_patient_assignments,patient_to_staff_ratio,total_billed_amount,avg_billed_per_admission,avg_out_of_pocket
Emergency,29777,2.86,29351.0,3580.0,12.2,34672.0,158240.0,4.56,181805959.94,6105.58,1434.88
General Medicine,20277,4.91,19957.0,2054.0,10.29,30037.0,119365.0,3.97,178220431.53,8789.29,2024.42
Cardiology,13213,5.53,12983.0,1301.0,10.02,24851.0,84658.0,3.41,198688525.1,15037.35,3497.61
Orthopedics,12081,4.51,11900.0,1213.0,10.19,22021.0,71581.0,3.25,143721195.71,11896.47,2797.22
Neurology,8494,6.05,8350.0,899.0,10.77,19573.0,61100.0,3.12,118549496.04,13956.85,3218.92
Pulmonology,8403,5.41,8265.0,972.0,11.76,19147.0,65366.0,3.41,88232455.17,10500.11,2358.69
Oncology,7380,5.89,7239.0,720.0,9.95,19739.0,55365.0,2.8,134197123.02,18183.89,4161.61
Gastroenterology,7207,4.22,7086.0,733.0,10.34,16878.0,53299.0,3.16,66514755.35,9229.19,2152.2
Surgery,7161,5.51,7044.0,706.0,10.02,24837.0,77337.0,3.11,121403526.0,16953.43,4096.87
Nephrology,5987,5.77,5889.0,602.0,10.22,16985.0,50085.0,2.95,79085430.38,13209.53,3102.55
