analysis_month,department,admissions,avg_length_of_stay,staff_assignments,patient_assignments,patient_to_staff_ratio,total_billed_amount,avg_billed_per_admission
2024-01,Cardiology,477,5.49,817.0,2892.0,3.54,7337548.3,15382.7
2024-01,Emergency,983,2.69,1214.0,5287.0,4.36,5932377.96,6034.97
2024-01,Gastroenterology,220,4.57,593.0,1852.0,3.12,2099095.72,9541.34
2024-01,General Medicine,691,4.89,1013.0,4049.0,4.0,6039008.61,8739.52
2024-01,Nephrology,193,5.5,595.0,1760.0,2.96,2450596.49,12697.39
2024-01,Neurology,281,6.23,703.0,2065.0,2.94,4000464.12,14236.53
2024-01,Oncology,256,6.31,681.0,1950.0,2.86,4643115.72,18137.17
2024-01,Orthopedics,391,4.53,763.0,2483.0,3.25,4619840.2,11815.45
2024-01,Pulmonology,284,5.15,680.0,2239.0,3.29,2921435.44,10286.74
2024-01,Surgery,241,5.12,858.0,2699.0,3.15,4034964.24,16742.59
2024-02,Cardiology,423,5.63,778.0,2800.0,3.6,6205753.41,14670.81
2024-02,Emergency,924,2.68,1149.0,5175.0,4.5,5555849.36,6012.82
2024-02,Gastroenterology,233,4.18,562.0,1745.0,3.1,2260913.66,9703.49
2024-02,General Medicine,673,4.74,977.0,4009.0,4.1,5942891.22,8830.45
2024-02,Nephrology,192,6.25,525.0,1632.0,3.11,2581614.34,13445.91
2024-02,Neurology,259,5.85,634.0,2067.0,3.26,3846285.49,14850.52
2024-02,Oncology,239,6.52,638.0,1891.0,2.96,4476829.79,18731.51
2024-02,Orthopedics,377,4.64,702.0,2428.0,3.46,4310238.46,11432.99
2024-02,Pulmonology,233,5.06,644.0,2120.0,3.29,2477558.69,10633.3
2024-02,Surgery,221,5.3,779.0,2593.0,3.33,4275233.36,19344.95
2024-03,Cardiology,476,5.61,849.0,2990.0,3.52,7035914.34,14781.33
2024-03,Emergency,1006,2.73,1226.0,5510.0,4.49,6182729.93,6145.85
2024-03,Gastroenterology,234,4.44,561.0,1909.0,3.4,2247170.53,9603.29
2024-03,General Medicine,699,4.84,1023.0,4400.0,4.3,6066354.76,8678.62
2024-03,Nephrology,197,5.71,596.0,1815.0,3.05,2740652.23,13911.94
2024-03,Neurology,269,5.94,673.0,2199.0,3.27,3723820.21,13843.2
2024-03,Oncology,238,5.55,691.0,2001.0,2.9,4338269.19,18228.02
2024-03,Orthopedics,430,4.59,745.0,2590.0,3.48,5165738.35,12013.35
2024-03,Pulmonology,310,5.35,683.0,2328.0,3.41,3352199.72,10813.55
2024-03,Surgery,233,5.41,837.0,2881.0,3.44,3815406.09,16375.13
2024-04,Cardiology,393,5.47,802.0,3018.0,3.76,5599568.58,14248.27
2024-04,Emergency,999,2.73,1173.0,5412.0,4.61,6021286.57,6027.31
2024-04,Gastroenterology,226,4.0,568.0,1930.0,3.4,2124809.89,9401.81
