discharge_month,department,eligible_admissions,readmitted_admissions,readmission_rate_pct
2024-01,Pulmonology,249.0,29.0,11.65
2024-01,Neurology,224.0,26.0,11.61
2024-01,Emergency,916.0,105.0,11.46
2024-01,General Medicine,589.0,65.0,11.04
2024-01,Cardiology,397.0,42.0,10.58
2024-01,Nephrology,151.0,15.0,9.93
2024-01,Surgery,198.0,19.0,9.6
2024-01,Orthopedics,326.0,27.0,8.28
2024-01,Gastroenterology,189.0,15.0,7.94
2024-01,Oncology,204.0,16.0,7.84
2024-02,Neurology,259.0,42.0,16.22
2024-02,Pulmonology,223.0,28.0,12.56
2024-02,Orthopedics,374.0,46.0,12.3
2024-02,Gastroenterology,230.0,25.0,10.87
2024-02,Cardiology,422.0,43.0,10.19
2024-02,General Medicine,665.0,67.0,10.08
2024-02,Emergency,909.0,91.0,10.01
2024-02,Surgery,219.0,19.0,8.68
2024-02,Oncology,238.0,20.0,8.4
2024-02,Nephrology,191.0,13.0,6.81
2024-03,Neurology,277.0,38.0,13.72
2024-03,Oncology,252.0,32.0,12.7
2024-03,Gastroenterology,235.0,27.0,11.49
2024-03,Pulmonology,296.0,33.0,11.15
2024-03,General Medicine,701.0,77.0,10.98
2024-03,Emergency,994.0,109.0,10.97
2024-03,Cardiology,471.0,50.0,10.62
2024-03,Surgery,238.0,24.0,10.08
2024-03,Orthopedics,430.0,41.0,9.53
2024-03,Nephrology,202.0,16.0,7.92
2024-04,Pulmonology,295.0,37.0,12.54
2024-04,Surgery,240.0,29.0,12.08
2024-04,Emergency,1006.0,118.0,11.73
2024-04,Neurology,274.0,31.0,11.31
2024-04,Orthopedics,434.0,48.0,11.06
2024-04,Cardiology,415.0,44.0,10.6
2024-04,General Medicine,666.0,66.0,9.91
2024-04,Gastroenterology,226.0,21.0,9.29
2024-04,Oncology,215.0,19.0,8.84
2024-04,Nephrology,202.0,15.0,7.43
2024-05,Nephrology,195.0,23.0,11.79
2024-05,Gastroenterology,249.0,29.0,11.65
2024-05,Emergency,1037.0,119.0,11.48
2024-05,Surgery,262.0,30.0,11.45
2024-05,Oncology,232.0,26.0,11.21
2024-05,Cardiology,412.0,43.0,10.44
2024-05,Orthopedics,407.0,42.0,10.32
2024-05,General Medicine,716.0,70.0,9.78
2024-05,Neurology,274.0,26.0,9.49
2024-05,Pulmonology,312.0,22.0,7.05
2024-06,Gastroenterology,236.0,31.0,13.14
