analysis_month,department,admissions,patient_to_staff_ratio,avg_length_of_stay
2026-03,Emergency,1002,5.78,3.36
2026-02,Emergency,925,5.73,3.23
2026-04,Emergency,948,5.72,3.18
2026-05,Emergency,1020,5.66,3.27
2026-01,Emergency,1051,5.5,3.26
2026-06,Emergency,1043,5.43,3.42
2025-03,Emergency,946,4.7,2.78
2025-04,Emergency,1046,4.64,2.81
2024-04,Emergency,999,4.61,2.73
2025-05,Emergency,1010,4.56,2.8
2025-06,Emergency,926,4.54,2.75
2025-01,Emergency,973,4.53,2.79
2024-02,Emergency,924,4.5,2.68
2024-03,Emergency,1006,4.49,2.73
2024-05,Emergency,1031,4.49,2.65
2025-07,Emergency,1050,4.44,2.74
2025-02,Emergency,915,4.42,2.75
2026-03,General Medicine,654,4.41,5.05
2024-06,Emergency,967,4.4,2.78
2024-01,Emergency,983,4.36,2.69
2025-03,General Medicine,715,4.32,4.91
2024-03,General Medicine,699,4.3,4.84
2025-04,General Medicine,663,4.3,5.09
2026-04,Pulmonology,266,4.26,5.8
2026-02,Pulmonology,257,4.25,5.73
2024-08,Emergency,1036,4.23,2.71
2024-12,Emergency,1001,4.22,2.74
2025-12,Emergency,1040,4.2,2.8
2024-07,Emergency,958,4.17,2.81
2024-04,General Medicine,670,4.14,4.94
2024-05,General Medicine,703,4.14,4.74
2025-05,General Medicine,703,4.14,5.03
2026-04,General Medicine,682,4.13,4.65
2024-11,Emergency,998,4.11,2.81
2026-05,General Medicine,688,4.11,4.94
2024-02,General Medicine,673,4.1,4.74
2025-02,General Medicine,567,4.1,4.94
2025-11,Emergency,975,4.1,2.71
2025-10,Emergency,1058,4.08,2.77
2026-05,Pulmonology,300,4.08,5.79
2025-09,Emergency,947,4.07,2.67
2024-07,General Medicine,759,4.04,4.93
2026-06,General Medicine,654,4.04,4.96
2026-02,General Medicine,605,4.03,4.85
2026-03,Pulmonology,310,4.02,5.73
2024-01,General Medicine,691,4.0,4.89
2024-10,Emergency,1033,4.0,2.8
2025-08,Emergency,978,4.0,2.8
2026-06,Pulmonology,258,4.0,6.14
2024-06,General Medicine,680,3.96,4.97
2025-01,General Medicine,700,3.95,4.95
2026-01,General Medicine,681,3.95,4.83
2024-09,Emergency,988,3.94,2.75
2025-06,General Medicine,659,3.93,5.1
2026-01,Pulmonology,289,3.91,5.54
2024-12,General Medicine,677,3.9,4.77
2025-07,General Medicine,649,3.83,4.8
2025-09,General Medicine,659,3.8,4.81
2025-12,General Medicine,684,3.77,4.99
2024-04,Cardiology,393,3.76,5.47
2024-08,General Medicine,688,3.75,4.94
2024-11,General Medicine,682,3.74,4.87
2025-03,Pulmonology,299,3.71,5.37
2025-10,General Medicine,677,3.71,4.98
2024-09,General Medicine,641,3.7,5.09
2025-08,General Medicine,653,3.68,4.78
2024-04,Orthopedics,427,3.65,4.31
2024-10,General Medicine,729,3.65,4.89
2025-11,General Medicine,692,3.63,5.02
2024-05,Cardiology,421,3.61,5.29
2024-02,Cardiology,423,3.6,5.63
2026-03,Cardiology,459,3.6,5.43
2026-06,Cardiology,436,3.6,5.41
2025-02,Cardiology,409,3.57,5.55
2025-04,Cardiology,429,3.57,5.41
2025-04,Pulmonology,286,3.57,5.51
2026-04,Cardiology,430,3.57,5.83
2025-03,Cardiology,396,3.56,5.52
2025-05,Cardiology,461,3.56,5.6
2026-03,Orthopedics,389,3.56,4.42
2024-01,Cardiology,477,3.54,5.49
2024-04,Pulmonology,280,3.54,5.33
2026-04,Gastroenterology,211,3.54,4.13
2025-02,Orthopedics,383,3.53,4.49
2025-04,Orthopedics,382,3.53,4.35
2025-04,Gastroenterology,242,3.53,4.11
2024-03,Cardiology,476,3.52,5.61
2025-04,Neurology,312,3.51,6.52
2025-05,Neurology,305,3.51,6.03
2026-01,Cardiology,463,3.49,5.38
2024-03,Orthopedics,430,3.48,4.59
2025-03,Gastroenterology,228,3.48,4.24
2024-05,Pulmonology,318,3.47,5.25
2025-04,Surgery,247,3.47,5.05
2024-02,Orthopedics,377,3.46,4.64
2026-05,Cardiology,428,3.45,5.33
2024-03,Surgery,233,3.44,5.41
2024-04,Neurology,273,3.44,6.41
2026-02,Cardiology,449,3.44,5.53
2024-05,Orthopedics,417,3.43,4.63
2026-04,Orthopedics,384,3.42,4.44
2024-03,Pulmonology,310,3.41,5.35
2025-02,Pulmonology,259,3.41,5.4
2025-02,Gastroenterology,241,3.41,4.28
2025-03,Orthopedics,386,3.41,4.27
2025-05,Pulmonology,277,3.41,5.17
2024-03,Gastroenterology,234,3.4,4.44
2024-04,Gastroenterology,226,3.4,4.0
2025-01,Cardiology,458,3.4,5.26
2026-03,Surgery,263,3.4,5.44
2026-03,Gastroenterology,247,3.38,4.11
2024-04,Surgery,249,3.36,5.69
2025-05,Orthopedics,411,3.36,4.45
2026-02,Surgery,223,3.36,5.88
2025-01,Orthopedics,408,3.35,4.64
2025-07,Cardiology,442,3.35,5.49
2026-05,Orthopedics,435,3.35,4.45
2025-12,Cardiology,440,3.34,5.64
2026-01,Gastroenterology,247,3.34,4.17
2026-03,Neurology,260,3.34,6.31
2024-02,Surgery,221,3.33,5.3
2024-12,Cardiology,498,3.33,5.73
2026-02,Orthopedics,375,3.33,4.44
2024-06,Gastroenterology,249,3.32,4.33
2024-06,Cardiology,420,3.31,5.67
2025-05,Gastroenterology,225,3.31,4.28
2026-05,Surgery,218,3.31,5.13
2024-06,Orthopedics,370,3.3,4.51
2024-06,Pulmonology,288,3.3,5.14
2025-05,Surgery,238,3.3,5.79
2025-11,Pulmonology,268,3.3,5.43
2026-02,Gastroenterology,216,3.3,4.0
2024-01,Pulmonology,284,3.29,5.15
2024-02,Pulmonology,233,3.29,5.06
2024-04,Nephrology,208,3.29,5.79
2024-07,Cardiology,439,3.29,5.67
2025-06,Cardiology,403,3.29,5.78
2026-06,Gastroenterology,265,3.29,4.18
2025-01,Pulmonology,288,3.28,5.09
2025-02,Surgery,213,3.28,5.89
2025-07,Pulmonology,233,3.28,5.39
2024-03,Neurology,269,3.27,5.94
2026-02,Neurology,244,3.27,6.17
2026-04,Surgery,228,3.27,5.35
2024-02,Neurology,259,3.26,5.85
2025-03,Surgery,249,3.26,5.58
2025-08,Pulmonology,274,3.26,6.04
2025-11,Cardiology,424,3.26,5.73
2024-01,Orthopedics,391,3.25,4.53
2024-10,Cardiology,415,3.25,5.51
2026-01,Orthopedics,408,3.25,4.69
2024-05,Neurology,279,3.24,5.81
2024-07,Orthopedics,401,3.24,4.92
2024-07,Pulmonology,293,3.24,5.24
2025-01,Surgery,258,3.24,5.22
2025-03,Neurology,277,3.24,6.02
2025-07,Neurology,300,3.24,5.75
2026-05,Nephrology,200,3.24,5.89
2025-12,Orthopedics,442,3.23,4.69
2024-05,Gastroenterology,244,3.22,4.05
2024-08,Gastroenterology,240,3.22,4.41
2025-06,Orthopedics,398,3.22,4.44
2025-09,Cardiology,453,3.22,5.52
2026-04,Nephrology,186,3.22,5.66
2026-05,Neurology,283,3.22,5.72
