department,admissions,avg_length_of_stay,patient_to_staff_ratio,readmission_rate_pct,avg_billed_per_admission,workload_rank,los_rank,readmission_rank,billed_amount_rank
Emergency,29777,2.86,4.56,12.2,6105.58,1,10,1,10
General Medicine,20277,4.91,3.97,10.29,8789.29,2,7,5,9
Pulmonology,8403,5.41,3.41,11.76,10500.11,3,6,2,7
Cardiology,13213,5.53,3.41,10.02,15037.35,3,4,8,3
Orthopedics,12081,4.51,3.25,10.19,11896.47,4,8,7,6
Gastroenterology,7207,4.22,3.16,10.34,9229.19,5,9,4,8
Neurology,8494,6.05,3.12,10.77,13956.85,6,1,3,4
Surgery,7161,5.51,3.11,10.02,16953.43,7,5,8,2
Nephrology,5987,5.77,2.95,10.22,13209.53,8,3,6,5
Oncology,7380,5.89,2.8,9.95,18183.89,9,2,9,1
