analysis_month,admissions,avg_length_of_stay,staff_assignments,patient_assignments,patient_to_staff_ratio,total_billed_amount,avg_billed_per_admission
2024-01,4017,4.62,7917.0,27276.0,3.45,44078446.8,10972.98
2024-02,3774,4.61,7388.0,26460.0,3.58,41933167.78,11111.07
2024-03,4092,4.59,7884.0,28623.0,3.63,44668255.35,10916.0
2024-04,3945,4.57,7534.0,27897.0,3.7,42468473.31,10765.14
2024-05,4103,4.5,7842.0,28015.0,3.57,44552038.18,10858.41
2024-06,3953,4.63,7609.0,26332.0,3.46,42206706.8,10677.13
2024-07,4071,4.67,7816.0,26250.0,3.36,43994498.27,10806.8
2024-08,4160,4.59,7800.0,25420.0,3.26,45096749.29,10840.56
2024-09,3950,4.66,7612.0,23782.0,3.12,42901385.67,10861.11
2024-10,4095,4.56,7797.0,24545.0,3.15,44394425.77,10841.13
2024-11,3970,4.62,7572.0,24403.0,3.22,42581638.57,10725.85
2024-12,4110,4.62,7800.0,25985.0,3.33,44854340.04,10913.46
2025-01,4077,4.62,7794.0,27230.0,3.49,44831671.56,10996.24
2025-02,3629,4.59,7138.0,25457.0,3.57,39668426.2,10930.95
2025-03,3942,4.63,7815.0,28745.0,3.68,42151628.25,10692.95
2025-04,4065,4.62,7514.0,28036.0,3.73,44338126.52,10907.29
2025-05,4086,4.65,7776.0,28212.0,3.63,44283361.88,10837.83
2025-06,3821,4.72,7623.0,26180.0,3.43,41628438.4,10894.64
2025-07,4006,4.53,7745.0,26128.0,3.37,43837208.5,10942.89
2025-08,3963,4.67,7762.0,25027.0,3.22,43030427.04,10858.04
2025-09,3987,4.6,7443.0,23899.0,3.21,42865539.32,10751.33
2025-10,4158,4.58,7781.0,24712.0,3.18,45393006.51,10917.03
2025-11,3950,4.65,7547.0,24410.0,3.23,42832329.64,10843.63
2025-12,4135,4.66,7840.0,25972.0,3.31,44174922.57,10683.17
2026-01,4149,4.71,7703.0,27826.0,3.61,46725477.68,11261.86
2026-02,3706,4.72,6880.0,26155.0,3.8,41410902.51,11174.02
2026-03,4077,4.84,7492.0,29286.0,3.91,45837074.42,11242.84
2026-04,3872,4.72,7372.0,28360.0,3.85,44284680.27,11437.16
2026-05,4075,4.7,7616.0,28709.0,3.77,44843167.45,11004.46
2026-06,4042,4.83,7328.0,27064.0,3.69,44552383.69,11022.36
