discharge_month,eligible_admissions,readmitted_admissions,readmission_rate_pct
2024-01,3443.0,359.0,10.43
2024-02,3730.0,394.0,10.56
2024-03,4096.0,447.0,10.91
2024-04,3973.0,428.0,10.77
2024-05,4096.0,430.0,10.5
2024-06,3919.0,420.0,10.72
2024-07,4062.0,434.0,10.68
2024-08,4181.0,447.0,10.69
2024-09,3946.0,405.0,10.26
2024-10,4127.0,376.0,9.11
2024-11,3947.0,437.0,11.07
2024-12,4097.0,422.0,10.3
2025-01,4100.0,439.0,10.71
2025-02,3614.0,409.0,11.32
2025-03,3988.0,422.0,10.58
2025-04,3973.0,425.0,10.7
2025-05,4125.0,482.0,11.68
2025-06,3787.0,406.0,10.72
2025-07,4103.0,427.0,10.41
2025-08,3941.0,397.0,10.07
2025-09,3976.0,426.0,10.71
2025-10,4132.0,443.0,10.72
2025-11,3992.0,445.0,11.15
2025-12,4065.0,415.0,10.21
2026-01,4163.0,485.0,11.65
2026-02,3717.0,450.0,12.11
2026-03,4062.0,484.0,11.92
2026-04,3867.0,441.0,11.4
2026-05,4093.0,458.0,11.19
2026-06,2749.0,327.0,11.9
