staffing_month,total_staff,total_patients,patient_to_staff_ratio
2024-01,7917.0,27276.0,3.45
2024-02,7388.0,26460.0,3.58
2024-03,7884.0,28623.0,3.63
2024-04,7534.0,27897.0,3.7
2024-05,7842.0,28015.0,3.57
2024-06,7609.0,26332.0,3.46
2024-07,7816.0,26250.0,3.36
2024-08,7800.0,25420.0,3.26
2024-09,7612.0,23782.0,3.12
2024-10,7797.0,24545.0,3.15
2024-11,7572.0,24403.0,3.22
2024-12,7800.0,25985.0,3.33
2025-01,7794.0,27230.0,3.49
2025-02,7138.0,25457.0,3.57
2025-03,7815.0,28745.0,3.68
2025-04,7514.0,28036.0,3.73
2025-05,7776.0,28212.0,3.63
2025-06,7623.0,26180.0,3.43
2025-07,7745.0,26128.0,3.37
2025-08,7762.0,25027.0,3.22
2025-09,7443.0,23899.0,3.21
2025-10,7781.0,24712.0,3.18
2025-11,7547.0,24410.0,3.23
2025-12,7840.0,25972.0,3.31
2026-01,7703.0,27826.0,3.61
2026-02,6880.0,26155.0,3.8
2026-03,7492.0,29286.0,3.91
2026-04,7372.0,28360.0,3.85
2026-05,7616.0,28709.0,3.77
2026-06,7328.0,27064.0,3.69
