staffing_month,department,total_staff,total_patients,patient_to_staff_ratio
2024-01,Emergency,1214.0,5287.0,4.36
2024-01,General Medicine,1013.0,4049.0,4.0
2024-01,Cardiology,817.0,2892.0,3.54
2024-01,Pulmonology,680.0,2239.0,3.29
2024-01,Orthopedics,763.0,2483.0,3.25
2024-01,Surgery,858.0,2699.0,3.15
2024-01,Gastroenterology,593.0,1852.0,3.12
2024-01,Nephrology,595.0,1760.0,2.96
2024-01,Neurology,703.0,2065.0,2.94
2024-01,Oncology,681.0,1950.0,2.86
2024-02,Emergency,1149.0,5175.0,4.5
2024-02,General Medicine,977.0,4009.0,4.1
2024-02,Cardiology,778.0,2800.0,3.6
2024-02,Orthopedics,702.0,2428.0,3.46
2024-02,Surgery,779.0,2593.0,3.33
2024-02,Pulmonology,644.0,2120.0,3.29
2024-02,Neurology,634.0,2067.0,3.26
2024-02,Nephrology,525.0,1632.0,3.11
2024-02,Gastroenterology,562.0,1745.0,3.1
2024-02,Oncology,638.0,1891.0,2.96
2024-03,Emergency,1226.0,5510.0,4.49
2024-03,General Medicine,1023.0,4400.0,4.3
2024-03,Cardiology,849.0,2990.0,3.52
2024-03,Orthopedics,745.0,2590.0,3.48
2024-03,Surgery,837.0,2881.0,3.44
2024-03,Pulmonology,683.0,2328.0,3.41
2024-03,Gastroenterology,561.0,1909.0,3.4
2024-03,Neurology,673.0,2199.0,3.27
2024-03,Nephrology,596.0,1815.0,3.05
2024-03,Oncology,691.0,2001.0,2.9
2024-04,Emergency,1173.0,5412.0,4.61
2024-04,General Medicine,997.0,4131.0,4.14
2024-04,Cardiology,802.0,3018.0,3.76
2024-04,Orthopedics,710.0,2593.0,3.65
2024-04,Pulmonology,644.0,2282.0,3.54
2024-04,Neurology,617.0,2122.0,3.44
2024-04,Gastroenterology,568.0,1930.0,3.4
2024-04,Surgery,818.0,2752.0,3.36
2024-04,Nephrology,540.0,1779.0,3.29
2024-04,Oncology,665.0,1878.0,2.82
2024-05,Emergency,1216.0,5460.0,4.49
2024-05,General Medicine,1017.0,4208.0,4.14
2024-05,Cardiology,848.0,3064.0,3.61
2024-05,Pulmonology,664.0,2303.0,3.47
2024-05,Orthopedics,733.0,2513.0,3.43
2024-05,Neurology,672.0,2180.0,3.24
2024-05,Gastroenterology,586.0,1889.0,3.22
2024-05,Surgery,869.0,2652.0,3.05
2024-05,Oncology,656.0,1995.0,3.04
2024-05,Nephrology,581.0,1751.0,3.01
2024-06,Emergency,1165.0,5122.0,4.4
2024-06,General Medicine,995.0,3937.0,3.96
2024-06,Gastroenterology,551.0,1832.0,3.32
2024-06,Cardiology,836.0,2764.0,3.31
2024-06,Orthopedics,717.0,2367.0,3.3
2024-06,Pulmonology,638.0,2107.0,3.3
2024-06,Neurology,644.0,2068.0,3.21
2024-06,Surgery,817.0,2531.0,3.1
2024-06,Nephrology,595.0,1729.0,2.91
2024-06,Oncology,651.0,1875.0,2.88
2024-07,Emergency,1209.0,5041.0,4.17
2024-07,General Medicine,990.0,3999.0,4.04
2024-07,Cardiology,872.0,2869.0,3.29
2024-07,Orthopedics,736.0,2383.0,3.24
2024-07,Pulmonology,669.0,2166.0,3.24
2024-07,Gastroenterology,566.0,1754.0,3.1
2024-07,Surgery,847.0,2552.0,3.01
2024-07,Neurology,679.0,1986.0,2.92
2024-07,Nephrology,577.0,1662.0,2.88
2024-07,Oncology,671.0,1838.0,2.74
2024-08,Emergency,1197.0,5067.0,4.23
2024-08,General Medicine,1022.0,3831.0,3.75
2024-08,Gastroenterology,551.0,1776.0,3.22
2024-08,Pulmonology,649.0,2038.0,3.14
2024-08,Cardiology,860.0,2612.0,3.04
