date,department,shift,staff_count,patient_count,patient_to_staff_ratio
2026-04-27,Neurology,Night,1,30,30.0
2026-03-27,Pulmonology,Night,1,29,29.0
2024-05-29,Gastroenterology,Evening,1,28,28.0
2026-04-10,Pulmonology,Night,1,26,26.0
2025-02-26,Pulmonology,Night,1,24,24.0
2025-10-21,Pulmonology,Night,1,24,24.0
2024-02-11,Pulmonology,Night,1,23,23.0
2025-03-20,Gastroenterology,Night,1,23,23.0
2026-06-04,Nephrology,Evening,1,23,23.0
2024-11-09,Pulmonology,Night,1,22,22.0
2025-05-15,Nephrology,Night,1,22,22.0
2024-05-31,Pulmonology,Night,1,22,22.0
2024-03-08,Neurology,Night,1,21,21.0
2024-02-01,Nephrology,Night,1,21,21.0
2025-01-02,Pulmonology,Night,1,21,21.0
2024-08-17,Neurology,Night,1,21,21.0
2026-04-06,Gastroenterology,Night,1,21,21.0
2025-10-21,Nephrology,Night,1,20,20.0
2026-02-03,Nephrology,Night,1,20,20.0
2025-11-24,Pulmonology,Night,1,20,20.0
