date,total_staff,total_patients,patient_to_staff_ratio
2024-01-01,264.0,846.0,3.2
2024-01-02,262.0,867.0,3.31
2024-01-03,277.0,830.0,3.0
2024-01-04,244.0,873.0,3.58
2024-01-05,248.0,907.0,3.66
2024-01-06,240.0,798.0,3.33
2024-01-07,252.0,784.0,3.11
2024-01-08,252.0,911.0,3.62
2024-01-09,266.0,889.0,3.34
2024-01-10,256.0,898.0,3.51
2024-01-11,250.0,879.0,3.52
2024-01-12,260.0,903.0,3.47
2024-01-13,255.0,881.0,3.45
2024-01-14,249.0,873.0,3.51
2024-01-15,249.0,883.0,3.55
2024-01-16,264.0,899.0,3.41
2024-01-17,256.0,852.0,3.33
2024-01-18,255.0,875.0,3.43
2024-01-19,254.0,855.0,3.37
2024-01-20,262.0,898.0,3.43
2024-01-21,251.0,907.0,3.61
2024-01-22,248.0,886.0,3.57
2024-01-23,240.0,883.0,3.68
2024-01-24,261.0,873.0,3.34
2024-01-25,259.0,865.0,3.34
2024-01-26,260.0,899.0,3.46
2024-01-27,249.0,899.0,3.61
2024-01-28,262.0,899.0,3.43
2024-01-29,262.0,927.0,3.54
2024-01-30,261.0,942.0,3.61
2024-01-31,249.0,895.0,3.59
2024-02-01,261.0,896.0,3.43
2024-02-02,239.0,905.0,3.79
2024-02-03,236.0,884.0,3.75
2024-02-04,255.0,909.0,3.56
2024-02-05,241.0,905.0,3.76
2024-02-06,269.0,957.0,3.56
2024-02-07,261.0,887.0,3.4
2024-02-08,252.0,950.0,3.77
2024-02-09,263.0,944.0,3.59
2024-02-10,253.0,910.0,3.6
2024-02-11,249.0,873.0,3.51
2024-02-12,269.0,933.0,3.47
2024-02-13,259.0,950.0,3.67
2024-02-14,255.0,919.0,3.6
2024-02-15,256.0,888.0,3.47
2024-02-16,249.0,903.0,3.63
2024-02-17,261.0,876.0,3.36
2024-02-18,266.0,935.0,3.52
2024-02-19,241.0,924.0,3.83
2024-02-20,257.0,888.0,3.46
2024-02-21,258.0,920.0,3.57
2024-02-22,234.0,873.0,3.73
2024-02-23,259.0,981.0,3.79
2024-02-24,254.0,930.0,3.66
2024-02-25,239.0,893.0,3.74
2024-02-26,261.0,884.0,3.39
2024-02-27,268.0,912.0,3.4
2024-02-28,258.0,880.0,3.41
2024-02-29,265.0,951.0,3.59
2024-03-01,260.0,909.0,3.5
2024-03-02,245.0,895.0,3.65
2024-03-03,270.0,896.0,3.32
2024-03-04,248.0,972.0,3.92
2024-03-05,248.0,969.0,3.91
2024-03-06,269.0,899.0,3.34
2024-03-07,247.0,922.0,3.73
2024-03-08,242.0,919.0,3.8
2024-03-09,257.0,894.0,3.48
2024-03-10,266.0,899.0,3.38
2024-03-11,241.0,939.0,3.9
2024-03-12,260.0,930.0,3.58
2024-03-13,263.0,978.0,3.72
2024-03-14,246.0,918.0,3.73
2024-03-15,253.0,914.0,3.61
2024-03-16,255.0,875.0,3.43
2024-03-17,256.0,956.0,3.73
2024-03-18,243.0,944.0,3.88
2024-03-19,267.0,957.0,3.58
2024-03-20,260.0,923.0,3.55
2024-03-21,260.0,928.0,3.57
2024-03-22,258.0,980.0,3.8
2024-03-23,247.0,917.0,3.71
2024-03-24,253.0,863.0,3.41
2024-03-25,242.0,922.0,3.81
2024-03-26,236.0,886.0,3.75
2024-03-27,263.0,887.0,3.37
2024-03-28,256.0,914.0,3.57
2024-03-29,254.0,914.0,3.6
2024-03-30,271.0,974.0,3.59
2024-03-31,248.0,930.0,3.75
2024-04-01,248.0,920.0,3.71
2024-04-02,245.0,922.0,3.76
2024-04-03,252.0,898.0,3.56
2024-04-04,259.0,952.0,3.68
2024-04-05,252.0,891.0,3.54
2024-04-06,262.0,962.0,3.67
2024-04-07,259.0,978.0,3.78
2024-04-08,250.0,905.0,3.62
2024-04-09,264.0,944.0,3.58
2024-04-10,254.0,935.0,3.68
2024-04-11,244.0,929.0,3.81
2024-04-12,254.0,905.0,3.56
2024-04-13,267.0,915.0,3.43
2024-04-14,250.0,998.0,3.99
2024-04-15,270.0,902.0,3.34
2024-04-16,239.0,892.0,3.73
2024-04-17,234.0,958.0,4.09
2024-04-18,251.0,995.0,3.96
2024-04-19,240.0,974.0,4.06
2024-04-20,261.0,938.0,3.59
2024-04-21,251.0,910.0,3.63
2024-04-22,256.0,936.0,3.66
2024-04-23,253.0,966.0,3.82
2024-04-24,251.0,903.0,3.6
2024-04-25,249.0,912.0,3.66
2024-04-26,245.0,899.0,3.67
2024-04-27,248.0,925.0,3.73
2024-04-28,229.0,915.0,4.0
2024-04-29,256.0,935.0,3.65
2024-04-30,241.0,883.0,3.66
2024-05-01,265.0,924.0,3.49
2024-05-02,247.0,938.0,3.8
2024-05-03,263.0,917.0,3.49
2024-05-04,259.0,955.0,3.69
2024-05-05,252.0,906.0,3.6
2024-05-06,232.0,961.0,4.14
2024-05-07,266.0,901.0,3.39
2024-05-08,272.0,975.0,3.58
2024-05-09,242.0,914.0,3.78
2024-05-10,243.0,910.0,3.74
2024-05-11,252.0,899.0,3.57
2024-05-12,252.0,847.0,3.36
2024-05-13,249.0,888.0,3.57
2024-05-14,250.0,910.0,3.64
